标题,日期,url,地块编号（主）,地块编号（副）,地块位置,宗地面积,土地用途,容积率,起始价,成交价(万元),其他
﻿泰顺县国土资源局国有建用地使用权挂牌出让公告(泰土资告字[2017]TZJXC170509014号),2017-05-31,http://www.zjdlr.gov.cn/art/2017/5/31/art_1071192_19098.html,泰土资告字[2017]TZJXC170509014号,330329010504009,泰顺县罗阳镇下交垟村,3335.5平方米,其他工业用地,1≤容积率≤1.54,162万元,,: ; 土地估价备案号:3313317BA0012 ; 加价幅度:1万元 ; 投资强度:2550万元/公顷 ; 建筑密度(%):30≤建筑密度≤40.41 ; 建筑限高(米):≤24 ; 绿化率(%):≥20 ; 保证金:33万元 ; 挂牌截止时间:2017年07月04日15时00分 ; 出让年限:50年 ; 场地平整宗地红线内场地平整基础设施五通[通路（施工道路）、通电、通上水、通下水、通讯]: ; 挂牌开始时间:2017年06月17日08时00分
﻿绍兴市国土资源局柯桥区分局国有建用地使用权挂牌出让公告(柯桥区土资挂告字[2017]10号),2017-05-31,http://www.zjdlr.gov.cn/art/2017/5/31/art_1071192_19097.html,柯桥区土资挂告字[2017]10号,柯桥城区G-28地块,华舍街道西周居。东至西周直江，南至钱陶公路，西至金青针纺有限公司，北至三江大河,5599平方米,其他工业用地,≥1.5,438.96万元,,: ; 土地估价备案号: ; 加价幅度:10万元 ; 投资强度:200万元/公顷 ; 建筑密度(%):40≤建筑密度≤55 ; 场地平整该地块现状已达到“三通”（通路、通电、通水）的基本使用条件，具体由华舍街道办事处负责实施。经华舍街道办事处确认，地块内无地上地下管线。基础设施: ; 建筑限高(米): ; 绿化率(%):≤10 ; 保证金:220万元 ; 挂牌截止时间:2017年06月28日16时00分 ; 出让年限:50年 ; 挂牌开始时间:2017年06月19日08时30分
﻿绍兴市国土资源局柯桥区分局国有建用地使用权挂牌出让公告(柯桥区土资挂告字[2017]10号),2017-05-31,http://www.zjdlr.gov.cn/art/2017/5/31/art_1071192_19097.html,柯桥区土资挂告字[2017]10号,柯岩KQ-15-02-08地块,柯岩街道蓬山村。东至蓬山河，南至会稽山酒厂区，西至会稽山酒厂区，北至规划高尔夫路,17206平方米,其他工业用地,1.1≤容积率≤2.2,1655万元,,: ; 土地估价备案号: ; 场地平整该地块现状已达到“三通”（通路、通电、通水）的基本使用条件，具体由柯岩街道办事处负责实施。经柯岩街道办事处确认，地块内无地上地下管线。基础设施: ; 投资强度:200万元/公顷 ; 建筑密度(%):40≤建筑密度≤50 ; 建筑限高(米): ; 加价幅度:10万元 ; 绿化率(%):≤10 ; 保证金:828万元 ; 挂牌截止时间:2017年06月28日16时00分 ; 出让年限:50年 ; 挂牌开始时间:2017年06月19日08时30分
﻿瑞安市国土资源局国有建用地使用权挂牌出让公告(瑞土告字[2017]070号),2017-05-31,http://www.zjdlr.gov.cn/art/2017/5/31/art_1071192_19096.html,瑞土告字[2017]070号,2017XG013,塘下镇塘口村L5-1-2地块,60049.02平方米,普通商品住房用地,1≤容积率≤3.1,60715.24万元,,: ; 土地估价备案号: ; 加价幅度:50万元 ; 投资强度:0万元/公顷 ; 建筑密度(%):≤25 ; 建筑限高(米):≤100 ; 绿化率(%):≥30 ; 保证金:12143万元 ; 挂牌截止时间:2017年06月29日16时00分 ; 出让年限:70年 ; 现状土地条件: ; 挂牌开始时间:2017年06月20日09时00分
﻿泰顺县国土资源局国有建用地使用权挂牌出让公告(泰土资告字[2017]TZJXC170509013号),2017-05-31,http://www.zjdlr.gov.cn/art/2017/5/31/art_1071192_19095.html,泰土资告字[2017]TZJXC170509013号,330329010504008,泰顺县罗阳镇下交垟村,3335.5平方米,其他工业用地,=0.8,161万元,,: ; 土地估价备案号:3313317BA0014 ; 加价幅度:1万元 ; 投资强度:2550万元/公顷 ; 建筑密度(%):30≤建筑密度≤38.85 ; 建筑限高(米):≤24 ; 绿化率(%):≥20 ; 保证金:33万元 ; 挂牌截止时间:2017年07月04日15时00分 ; 出让年限:50年 ; 场地平整宗地红线内场地平整基础设施五通[通路（施工道路）、通电、通上水、通下水、通讯]: ; 挂牌开始时间:2017年06月17日08时00分
﻿苍南县国土资源局国有建用地使用权挂牌出让公告(苍土告字[2017]16号),2017-05-31,http://www.zjdlr.gov.cn/art/2017/5/31/art_1071192_19094.html,苍土告字[2017]16号,苍南县金乡镇A-08-01a地块,金乡镇北二环路南侧、东风大道东侧,1112.2平方米,其他工业用地,1≤容积率≤2.4,52万元,,: ; 土地估价备案号: ; 加价幅度:1万元 ; 投资强度:3000万元/公顷 ; 建筑密度(%):≤45 ; 建筑限高(米): ; 绿化率(%):≥5 ; 保证金:10万元 ; 挂牌截止时间:2017年07月04日15时30分 ; 出让年限:50年 ; 现状土地条件: ; 挂牌开始时间:2017年06月21日08时30分
﻿苍南县国土资源局国有建用地使用权拍卖出让公告(苍土告字[2017]15号),2017-05-31,http://www.zjdlr.gov.cn/art/2017/5/31/art_1071192_19093.html,苍土告字[2017]15号,桥墩镇政府B-21d地块,桥墩镇金山村金山路以东,4533.3平方米,普通商品住房用地,1≤容积率≤2,1270万元,,: ; 土地估价备案号: ; 加价幅度:10万元 ; 投资强度:0万元/公顷 ; 建筑密度(%):≤35 ; 建筑限高(米): ; 绿化率(%):≥30 ; 保证金:260万元 ; 出让年限:70年 ; 现状土地条件:
﻿嘉善县国土资源局国有建用地使用权挂牌出让公告(善土告字[2017]13号),2017-05-31,http://www.zjdlr.gov.cn/art/2017/5/31/art_1071192_19092.html,善土告字[2017]13号,2015G-30,魏塘街道魏中村（开发区）,16629.7平方米,工业用地,1≤容积率≤2.5,631.9286万元,,: ; 土地估价备案号: ; 加价幅度:3.3259万元 ; 投资强度:4650万元/公顷 ; 建筑密度(%):≤60 ; 建筑限高(米): ; 绿化率(%):10≤绿化率≤20 ; 保证金:316万元 ; 挂牌截止时间:2017年07月04日15时30分 ; 出让年限:50年 ; 挂牌开始时间:2017年06月20日08时30分 ; 备注:汽车制造业
﻿嘉善县国土资源局国有建用地使用权挂牌出让公告(善土告字[2017]13号),2017-05-31,http://www.zjdlr.gov.cn/art/2017/5/31/art_1071192_19092.html,善土告字[2017]13号,2016G-13,姚庄镇南鹿村,24108.7平方米,工业用地,1≤容积率≤2,1084.8915万元,,: ; 土地估价备案号: ; 加价幅度:4.8217万元 ; 投资强度:4500万元/公顷 ; 建筑密度(%):≤60 ; 建筑限高(米): ; 绿化率(%):10≤绿化率≤20 ; 保证金:542万元 ; 挂牌截止时间:2017年07月04日15时30分 ; 出让年限:41年 ; 挂牌开始时间:2017年06月20日08时30分 ; 备注:黑色金属冶炼及压延加工业（至2058年11月24日止）
﻿嘉善县国土资源局国有建用地使用权挂牌出让公告(善土告字[2017]13号),2017-05-31,http://www.zjdlr.gov.cn/art/2017/5/31/art_1071192_19092.html,善土告字[2017]13号,2016G-17,魏塘街道魏中村,25438.6平方米,仓储用地,0.8≤容积率≤2,968.7019万元,,: ; 土地估价备案号: ; 加价幅度:5.0877万元 ; 投资强度:450万元/公顷 ; 建筑密度(%):≤60 ; 建筑限高(米): ; 绿化率(%):10≤绿化率≤20 ; 保证金:484万元 ; 挂牌截止时间:2017年07月04日15时30分 ; 出让年限:50年 ; 挂牌开始时间:2017年06月20日08时30分 ; 备注:木业堆场
﻿嘉善县国土资源局国有建用地使用权挂牌出让公告(善土告字[2017]13号),2017-05-31,http://www.zjdlr.gov.cn/art/2017/5/31/art_1071192_19092.html,善土告字[2017]13号,2016G-31-2-1-2,魏塘街道虹桥村(开发区),11160.1平方米,工业用地,1≤容积率≤2,468.7242万元,,: ; 土地估价备案号: ; 加价幅度:2.232万元 ; 投资强度:4650万元/公顷 ; 建筑密度(%):≤60 ; 建筑限高(米): ; 绿化率(%):10≤绿化率≤20 ; 保证金:234万元 ; 挂牌截止时间:2017年07月04日15时30分 ; 出让年限:50年 ; 挂牌开始时间:2017年06月20日08时30分 ; 备注:专用设备制造业
﻿嘉善县国土资源局国有建用地使用权挂牌出让公告(善土告字[2017]13号),2017-05-31,http://www.zjdlr.gov.cn/art/2017/5/31/art_1071192_19092.html,善土告字[2017]13号,2017G-14,西塘镇邗上村,9808.2平方米,工业用地,1≤容积率≤2,353.0952万元,,: ; 土地估价备案号: ; 加价幅度:1.9616万元 ; 投资强度:4500万元/公顷 ; 建筑密度(%):≤60 ; 建筑限高(米): ; 绿化率(%):10≤绿化率≤20 ; 保证金:177万元 ; 挂牌截止时间:2017年07月04日15时30分 ; 出让年限:50年 ; 挂牌开始时间:2017年06月20日08时30分 ; 备注:造纸及纸制品业
﻿桐乡市国土资源局国有建用地使用权拍卖出让公告(桐土告字[2017]23号),2017-05-30,http://www.zjdlr.gov.cn/art/2017/5/30/art_1071192_19091.html,桐土告字[2017]23号,桐土储[2017]14号地块,桐乡市濮院镇紫金路南侧、恒旺路东侧,28433.32平方米,普通商品住房用地,1<容积率≤2.3,8500万元,,: ; 土地估价备案号: ; 加价幅度:100万元 ; 投资强度:0万元/公顷 ; 建筑密度(%):≤30 ; 建筑限高(米): ; 绿化率(%):≥30 ; 保证金:1700万元 ; 场地平整达到场地平整。基础设施周围基础设施三通，即通水、通电、通路。: ; 出让年限:70年 ; 备注:土地用途：城镇住宅用地、批发零售用地；土地使用权出让年期：批发零售用地40年、城镇住宅用地70年。
﻿湖州市国土资源局国有建用地使用权拍卖出让公告(湖土资告字[2017]5号),2017-05-28,http://www.zjdlr.gov.cn/art/2017/5/28/art_1071192_19089.html,湖土资告字[2017]5号,2017-12,太湖旅游度假区滨湖东单元01-02地块（位于长东片区滨湖东控规单元内，北为太湖，南邻滨湖大道）,15531平方米,文体娱乐用地,0.3≤容积率≤0.6,1620万元,,: ; 土地估价备案号: ; 加价幅度:20万元 ; 投资强度:0万元/公顷 ; 建筑密度(%):≤30 ; 建筑限高(米):≤12 ; 绿化率(%):≥15 ; 保证金:324万元 ; 出让年限:40年 ; 现状土地条件:
